"","concentration","time","sim"
"280",0.000111709858958305,2349.77153554047,"Sim1"
"281",4.76884815404933e-05,2354.98187102494,"Sim1"
"282",2.03580175719923e-05,2360.19220650941,"Sim1"
"283",8.69075437240817e-06,2365.40254199388,"Sim1"
"284",3.71004746873986e-06,2370.61287747836,"Sim1"
"285",1.58380407850475e-06,2375.82321296283,"Sim1"
"286",6.76119478315e-07,2381.0335484473,"Sim1"
"287",2.88632637812453e-07,2386.24388393178,"Sim1"
"288",1.23216091656158e-07,2391.45421941625,"Sim1"
"289",5.26004451820995e-08,2396.66455490072,"Sim1"
"290",2.24549147450318e-08,2401.8748903852,"Sim1"
"291",9.58591119259654e-09,2407.08522586967,"Sim1"
"292",0.000111713757218611,2412.29556135414,"Sim1"
"293",4.76901456918613e-05,2417.50589683861,"Sim1"
"294",2.03587279913997e-05,2422.71623232309,"Sim1"
"295",8.69105764754529e-06,2427.92656780756,"Sim1"
"296",3.71017693565454e-06,2433.13690329203,"Sim1"
"297",1.58385934740069e-06,2438.34723877651,"Sim1"
"298",6.76143072380453e-07,2443.55757426098,"Sim1"
"299",2.8864271002242e-07,2448.76790974545,"Sim1"
"300",1.23220391441366e-07,2453.97824522993,"Sim1"
"301",5.26022807428048e-08,2459.1885807144,"Sim1"
"302",2.24556983383837e-08,2464.39891619887,"Sim1"
"303",9.58624570539104e-09,2469.60925168335,"Sim1"
"304",4.09232905338105e-09,2474.81958716782,"Sim1"
"305",1.74699852223989e-09,2480.02992265229,"Sim1"
"306",7.45786518360939e-10,2485.24025813676,"Sim1"
"307",3.18373212048176e-10,2490.45059362124,"Sim1"
"308",1.35912221063799e-10,2495.66092910571,"Sim1"
"309",5.80203708586503e-11,2500.87126459018,"Sim1"
"310",2.4768658831608e-11,2506.08160007466,"Sim1"
"311",1.05736390725798e-11,2511.29193555913,"Sim1"
"312",4.51384324025296e-12,2516.5022710436,"Sim1"
"313",1.92694120328114e-12,2521.71260652808,"Sim1"
"314",8.22603312359266e-13,2526.92294201255,"Sim1"
"315",3.51165986980927e-13,2532.13327749702,"Sim1"
"316",1.49911322455787e-13,2537.34361298149,"Sim1"
"317",6.39965299420174e-14,2542.55394846597,"Sim1"
"318",2.73198566827894e-14,2547.76428395044,"Sim1"
"319",1.16627349927314e-14,2552.97461943491,"Sim1"
"320",4.97877383069766e-15,2558.18495491939,"Sim1"
"321",2.12541816929636e-15,2563.39529040386,"Sim1"
"322",9.07332316748778e-16,2568.60562588833,"Sim1"
"323",3.87336452143556e-16,2573.81596137281,"Sim1"
"324",1.65352345981409e-16,2579.02629685728,"Sim1"
"325",7.05882396821826e-17,2584.23663234175,"Sim1"
"326",3.01338305897969e-17,2589.44696782622,"Sim1"
"327",1.2864008935525e-17,2594.6573033107,"Sim1"
"328",5.4915927598431e-18,2599.86763879517,"Sim1"
"329",2.34433847108723e-18,2605.07797427964,"Sim1"
"330",1.00078849750262e-18,2610.28830976412,"Sim1"
"331",4.27232513174193e-19,2615.49864524859,"Sim1"
"332",1.82383811133541e-19,2620.70898073306,"Sim1"
"333",7.78589024427374e-20,2625.91931621754,"Sim1"
"334",3.32376467621303e-20,2631.12965170201,"Sim1"
"335",1.4189015355009e-20,2636.33998718648,"Sim1"
"336",6.05723257682811e-21,2641.55032267096,"Sim1"
"337",2.5858077936913e-21,2646.76065815543,"Sim1"
